,apache_zeppelin,apache_spark,apache_activemq,apache_kafka,apache_hbase,apache_zookeeper,apache_ignite,apache_hive,apache_cassandra,apache_hadoop-hdfs,apache_hadoop-mapreduce,apache_camel,apache_flink,apache_groovy
AUC-ROC,0.6375000000000001,0.7729649519502544,0.6957747469066367,0.7375203472599025,0.747943190657434,0.783395176252319,0.7639853157121879,0.7581564273691184,0.7516380297823597,0.780523230068902,0.5905874609182162,0.6011457422632609,0.7323496002741285,0.6453549982338396
F1-score,0.4930232558139535,0.4878048780487805,0.26666666666666666,0.4794520547945205,0.5185185185185185,0.26865671641791045,0.5171385991058122,0.6298044504383007,0.5764023210831721,0.8699029126213592,0.7903614457831325,0.08888888888888889,0.38860971524288107,0.09248554913294797
Precision,0.4274193548387097,0.3883495145631068,0.4444444444444444,0.358974358974359,0.4658273381294964,0.16981132075471697,0.7995391705069125,0.48393782383419687,0.6592920353982301,0.7845884413309983,0.784688995215311,0.15151515151515152,0.5296803652968036,0.3333333333333333
Recall,0.5824175824175825,0.6557377049180327,0.19047619047619047,0.7216494845360825,0.5846501128668171,0.6428571428571429,0.38215859030837,0.9015444015444015,0.5120274914089347,0.9760348583877996,0.7961165048543689,0.06289308176100629,0.30687830687830686,0.053691275167785234
TP,0.5824175824175825,0.6557377049180327,0.19047619047619047,0.7216494845360825,0.5846501128668171,0.6428571428571429,0.38215859030837,0.9015444015444015,0.5120274914089347,0.9760348583877996,0.7961165048543689,0.06289308176100629,0.30687830687830686,0.053691275167785234
# of TP,53.0,40.0,40.0,70.0,259.0,9.0,347.0,467.0,298.0,448.0,164.0,10.0,116.0,8.0
