feature,value,importance,min,max,rule,importance_ratio
la,1038.0,0.2693383905354374,0.0,8960.0,la > 96.49677421727523,0.561911594123604
nd,3.0,0.06313893147196463,1.0,32.0,nd > 1.9961187690579543,0.13172462181920055
nuc,7.21428571428571,-0.059875348528684806,0.0,258.0,2.0897306900690538 < nuc <= 7.50791253693143,0.12491591886910372
ns,1.0,-0.03353316738960219,1.0,22.0,ns <= 1.0028049577057412,0.06995911539549299
ld,240.0,0.025985922953344672,0.0,6029.0,ld > 17.995624126341557,0.05421355404426043
