feature,value,importance,min,max,rule,importance_ratio
nuc,40.0,0.08955827141142278,0.0,258.0,nuc > 22.25740756450123,0.4854005938363577
nd,1.0,-0.026737113316251303,1.0,32.0,nd <= 0.9920812954645422,0.14491359063371842
ns,1.0,-0.024904861159743958,1.0,22.0,ns <= 1.0028049577057412,0.13498289109240083
la,62.0,0.01676164502459187,0.0,8960.0,19.897689474888722 < la <= 96.49677421727523,0.09084713584113903
asexp,62.0,-0.016351968779987337,0.0,1051.0,8.86933593524725 < asexp <= 157.21915466590482,0.08862671455254406
