feature,value,importance,min,max,rule,importance_ratio
la,314.0,0.268620843493356,0.0,8960.0,la > 96.49677421727523,0.6670970097313762
nd,3.0,0.06214853203783086,1.0,32.0,nd > 1.9961187690579543,0.15434059152843452
ns,1.0,-0.03579941786202793,1.0,22.0,ns <= 1.0028049577057412,0.08890480833619126
nuc,10.0,0.021726965829650124,0.0,258.0,7.50791253693143 < nuc <= 22.25740756450123,0.05395707104111552
asexp,36.0,-0.006795669004846955,0.0,1051.0,8.86933593524725 < asexp <= 157.21915466590482,0.016876465777197692
