feature,value,importance,min,max,rule,importance_ratio
la,147.0,0.27063632213942845,0.0,8960.0,la > 96.49677421727523,0.7062386880996762
ns,2.0,0.03790881369304875,1.0,22.0,ns > 1.0028049577057412,0.09892489906140849
asexp,0.166338686541857,0.029105339553948735,0.0,1051.0,asexp <= 8.86933593524725,0.07595180373714407
nuc,20.0,0.021949172092027274,0.0,258.0,7.50791253693143 < nuc <= 22.25740756450123,0.05727743556595209
nd,2.0,-0.013584750523034926,1.0,32.0,0.9920812954645422 < nd <= 1.9961187690579543,0.03545006934659283
