feature,value,importance,min,max,rule,importance_ratio
nd,5.0,0.06457856675370788,1.0,32.0,nd > 1.9961187690579543,0.28400674749531474
age,125.666666666667,0.05656555782569343,0.0,1848.0,age > 84.61170148501066,0.24876674887509706
ld,141.0,0.027486836296419695,0.0,6029.0,ld > 17.995624126341557,0.12088293946279167
nuc,13.5,0.02425310165758155,0.0,258.0,7.50791253693143 < nuc <= 22.25740756450123,0.10666146470411525
asexp,0.527485149057826,0.019029121318598956,0.0,1051.0,asexp <= 8.86933593524725,0.08368719104591683
