feature,value,importance,min,max,rule,importance_ratio
la,294.0,0.26819030971471036,0.0,8960.0,la > 96.49677421727523,0.5259645517384374
nd,13.0,0.06045811710188095,1.0,32.0,nd > 1.9961187690579543,0.1185681410125035
nuc,3.6829268292682897,-0.058860633173789145,0.0,258.0,2.0897306900690538 < nuc <= 7.50791253693143,0.11543521678775447
age,263.756097560976,0.05438045992713936,0.0,1848.0,age > 84.61170148501066,0.10664887280727527
ns,1.0,-0.031235131534861085,1.0,22.0,ns <= 1.0028049577057412,0.06125714226476105
