feature,value,importance,min,max,rule,importance_ratio
nuc,33.5,0.0899285758008441,0.0,258.0,nuc > 22.25740756450123,0.4314815181203798
ns,2.0,0.026519900781175616,1.0,22.0,ns > 1.0028049577057412,0.12724372589648078
nd,2.0,-0.02404293703069492,1.0,32.0,0.9920812954645422 < nd <= 1.9961187690579543,0.11535913782345886
ld,15.0,0.021575360666669575,0.0,6029.0,3.326605713234237 < ld <= 17.995624126341557,0.1035195908702686
asexp,0.1254732310808319,0.020771433780064692,0.0,1051.0,asexp <= 8.86933593524725,0.09966231201979214
